,season,market,name,team_code,team_id,alias,division,current_division,wins,losses,ties
0,1956,,,296,,,1,,0,0,0
1,1903,,,137,,,1,,7,0,0
2,1908,,,137,,,1,,12,0,0
3,2006,,,28593,,,1,,0,0,0
4,1908,,,479,,,1,,13,0,0
5,1933,,,479,,,1,,16,0,0
6,1904,,,755,,,1,,1,0,0
7,1934,,,479,,,1,,18,1,0
8,1920,,,479,,,1,,12,1,0
9,1919,,,479,,,1,,16,1,0
10,1939,,,479,,,1,,18,1,0
11,1907,,,137,,,1,,24,2,0
12,1906,,,137,,,1,,21,2,0
13,1906,,,479,,,1,,6,2,0
14,1907,,,755,,,1,,4,2,0
15,1947,,,268,,,1,,28,3,0
16,1909,,,137,,,1,,10,3,0
17,1895,,,137,,,1,,5,3,0
18,1904,,,137,,,1,,9,3,0
19,1945,,,479,,,1,,19,3,0
20,1929,,,479,,,1,,13,3,0
21,1916,,,479,,,1,,9,3,0
22,1905,,,755,,,1,,1,3,0
23,1896,,,137,,,1,,7,4,0
24,1915,,,479,,,1,,11,4,0
25,1932,,,479,,,1,,11,4,0
26,1925,,,479,,,1,,10,4,0
27,1935,,,479,,,1,,14,4,0
28,1947,,,479,,,1,,22,4,0
29,1909,,,479,,,1,,13,4,0
30,1950,,,479,,,1,,12,4,0
31,1906,,,755,,,1,,6,4,0
32,1928,,,79,,,1,,9,5,0
33,1932,,,79,,,1,,10,5,0
34,1965,,,503905,,,1,,24,5,0
35,1910,,,137,,,1,,13,5,0
36,1914,,,137,,,1,,20,5,0
37,1905,,,137,,,1,,5,5,0
38,1921,,,479,,,1,,8,5,0
39,1928,,,479,,,1,,13,5,0
40,1961,,,479,,,1,,20,5,0
41,1962,,,479,,,1,,18,5,0
42,1959,,,479,,,1,,22,5,0
43,1907,,,479,,,1,,9,5,0
44,1910,,,479,,,1,,8,5,0
45,1908,,,755,,,1,,6,5,0
46,1911,,,755,,,1,,8,5,0
47,1943,,,755,,,1,,12,5,0
48,1955,,,755,,,1,,17,5,0
49,1909,,,755,,,1,,7,5,0
50,1919,,,755,,,1,,13,5,0
51,1961,,,258,,,1,,18,6,0
52,1960,,,258,,,1,,19,6,0
53,1947,,,46,,,1,,17,6,0
54,1940,,,79,,,1,,11,6,0
55,1933,,,79,,,1,,6,6,0
56,1952,,,503905,,,1,,18,6,0
57,1972,,,503905,,,1,,21,6,0
58,1912,,,137,,,1,,20,6,0
59,1920,,,137,,,1,,14,6,0
60,1918,,,137,,,1,,21,6,0
61,1911,,,137,,,1,,12,6,0
62,1923,,,137,,,1,,11,6,0
63,1940,,,479,,,1,,13,6,0
64,1930,,,479,,,1,,9,6,0
65,1918,,,479,,,1,,5,6,0
66,1927,,,479,,,1,,8,6,0
67,1931,,,479,,,1,,6,6,0
68,1942,,,479,,,1,,16,6,0
69,1914,,,479,,,1,,6,6,0
70,1936,,,479,,,1,,10,6,0
71,1922,,,479,,,1,,6,6,0
72,1932,,,755,,,1,,11,6,0
73,1913,,,755,,,1,,7,6,0
74,1949,,,755,,,1,,17,6,0
75,1950,,,258,,,1,,15,7,0
76,1938,,,264,,,1,,14,7,0
77,1950,,,46,,,1,,19,7,0
78,1934,,,79,,,1,,14,7,0
79,1953,,,503905,,,1,,18,7,0
80,1955,,,503905,,,1,,20,7,0
81,1967,,,503905,,,1,,20,7,0
82,1958,,,503905,,,1,,20,7,0
83,1938,,,119,,,1,,12,7,0
84,2003,,,28593,,,1,,20,7,0
85,1941,,,479,,,1,,12,7,0
86,1924,,,479,,,1,,7,7,0
87,1944,,,479,,,1,,14,7,0
88,1926,,,479,,,1,,4,7,0
89,1943,,,479,,,1,,7,7,0
90,1928,,,755,,,1,,11,7,0
91,1923,,,755,,,1,,12,7,0
92,1914,,,755,,,1,,6,7,0
93,1941,,,79,,,1,,10,8,0
94,1938,,,79,,,1,,9,8,0
95,1946,,,79,,,1,,12,8,0
96,1937,,,79,,,1,,7,8,0
97,1929,,,79,,,1,,6,8,0
98,1936,,,79,,,1,,10,8,0
99,1927,,,79,,,1,,3,8,0
100,1951,,,503905,,,1,,19,8,0
101,1944,,,137,,,1,,7,8,0
102,1919,,,137,,,1,,27,8,0
103,1951,,,479,,,1,,17,8,0
104,1948,,,479,,,1,,12,8,0
105,1955,,,479,,,1,,10,8,0
106,1923,,,479,,,1,,8,8,0
107,1937,,,479,,,1,,16,8,0
108,1958,,,479,,,1,,15,8,0
109,1929,,,755,,,1,,8,8,0
110,1924,,,755,,,1,,10,8,0
111,1912,,,755,,,1,,4,8,0
112,1940,,,755,,,1,,9,8,0
113,1917,,,755,,,1,,9,8,0
114,1962,,,258,,,1,,16,9,0
115,1963,,,258,,,1,,15,9,0
116,1937,,,264,,,1,,10,9,0
117,1948,,,46,,,1,,13,9,0
118,1952,,,46,,,1,,13,9,0
119,1954,,,320,,,1,,14,9,0
120,1931,,,79,,,1,,9,9,0
121,1935,,,79,,,1,,18,9,0
122,1939,,,79,,,1,,9,9,0
123,1945,,,79,,,1,,8,9,0
124,1956,,,503905,,,1,,19,9,0
125,1968,,,503905,,,1,,18,9,0
126,1937,,,119,,,1,,12,9,0
127,1930,,,137,,,1,,8,9,0
128,1922,,,137,,,1,,6,9,0
129,1927,,,137,,,1,,8,9,0
130,1913,,,137,,,1,,19,9,0
131,2005,,,28593,,,1,,19,9,0
132,2002,,,28593,,,1,,19,9,0
133,1913,,,479,,,1,,6,9,0
134,1968,,,479,,,1,,12,9,0
135,1953,,,479,,,1,,9,9,0
136,1946,,,479,,,1,,12,9,0
137,1956,,,755,,,1,,12,9,0
138,1931,,,755,,,1,,10,9,0
139,1918,,,755,,,1,,9,9,0
140,1925,,,755,,,1,,7,9,0
141,1944,,,755,,,1,,10,9,0
142,1948,,,755,,,1,,13,9,0
143,1947,,,258,,,1,,10,10,0
144,1966,,,258,,,1,,12,10,0
145,1948,,,258,,,1,,16,10,0
146,1968,,,258,,,1,,14,10,0
147,1936,,,264,,,1,,8,10,0
148,1947,,,79,,,1,,10,10,0
149,1966,,,503905,,,1,,16,10,0
150,1964,,,503905,,,1,,21,10,0
151,1962,,,503905,,,1,,19,10,0
152,1917,,,137,,,1,,14,10,0
153,1963,,,479,,,1,,17,10,0
154,1917,,,479,,,1,,1,10,0
155,1965,,,479,,,1,,18,10,0
156,1964,,,479,,,1,,16,10,0
157,1926,,,755,,,1,,5,10,0
158,1922,,,755,,,1,,8,10,0
159,1953,,,755,,,1,,12,10,0
160,1957,,,755,,,1,,11,10,0
161,1938,,,755,,,1,,11,10,0
162,1942,,,755,,,1,,9,10,0
163,1972,,,258,,,1,,14,11,0
164,1959,,,258,,,1,,15,11,0
165,1967,,,258,,,1,,14,11,0
166,1964,,,258,,,1,,12,11,0
167,1949,,,320,,,1,,9,11,0
168,1953,,,320,,,1,,15,11,0
169,1978,,,503905,,,1,,18,11,0
170,1977,,,503905,,,1,,16,11,0
171,1963,,,503905,,,1,,15,11,0
172,1936,,,119,,,1,,9,11,0
173,1926,,,137,,,1,,6,11,0
174,1938,,,137,,,1,,9,11,0
175,1925,,,137,,,1,,5,11,0
176,1915,,,137,,,1,,15,11,0
177,1928,,,137,,,1,,5,11,0
178,1912,,,479,,,1,,1,11,0
179,1957,,,479,,,1,,10,11,0
180,1938,,,479,,,1,,11,11,0
181,1949,,,479,,,1,,8,11,0
182,1952,,,479,,,1,,9,11,0
183,1960,,,479,,,1,,12,11,0
184,1915,,,755,,,1,,6,11,0
185,1933,,,755,,,1,,7,11,0
186,1934,,,755,,,1,,7,11,0
187,1947,,,755,,,1,,10,11,0
188,1949,,,258,,,1,,12,12,0
189,1971,,,258,,,1,,11,12,0
190,1951,,,46,,,1,,9,12,0
191,1942,,,79,,,1,,6,12,0
192,1971,,,503905,,,1,,16,12,0
193,1960,,,503905,,,1,,14,12,0
194,1976,,,503905,,,1,,14,12,0
195,1957,,,503905,,,1,,14,12,0
196,1961,,,503905,,,1,,14,12,0
197,1937,,,137,,,1,,6,12,0
198,1929,,,137,,,1,,5,12,0
199,1911,,,479,,,1,,1,12,0
200,1969,,,479,,,1,,12,12,0
201,1936,,,755,,,1,,6,12,0
202,1930,,,755,,,1,,6,12,0
203,1927,,,755,,,1,,10,12,0
204,1916,,,755,,,1,,7,12,0
205,1958,,,258,,,1,,13,13,0
206,1984,,,79,,,1,,15,13,0
207,1969,,,503905,,,1,,17,13,0
208,1959,,,503905,,,1,,12,13,0
209,1973,,,503905,,,1,,13,13,0
210,1956,,,479,,,1,,8,13,0
211,1954,,,479,,,1,,7,13,0
212,1958,,,755,,,1,,9,13,0
213,1941,,,755,,,1,,10,13,0
214,1959,,,755,,,1,,11,13,0
215,1939,,,755,,,1,,7,13,0
216,1935,,,755,,,1,,6,13,0
217,1949,,,46,,,1,,11,14,0
218,1951,,,320,,,1,,11,14,0
219,1947,,,320,,,1,,9,14,0
220,1952,,,320,,,1,,13,14,0
221,1943,,,79,,,1,,6,14,0
222,1948,,,79,,,1,,8,14,0
223,1974,,,503905,,,1,,12,14,0
224,1981,,,503905,,,1,,14,14,0
225,1950,,,503905,,,1,,16,14,0
226,1924,,,137,,,1,,3,14,0
227,1935,,,137,,,1,,6,14,0
228,1945,,,137,,,1,,6,14,0
229,2001,,,28593,,,1,,13,14,0
230,2004,,,28593,,,1,,16,14,0
231,1954,,,755,,,1,,8,14,0
232,1946,,,755,,,1,,11,14,0
233,1965,,,258,,,1,,9,15,0
234,1930,,,79,,,1,,6,15,0
235,1944,,,79,,,1,,3,15,0
236,1979,,,503905,,,1,,13,15,0
237,1980,,,503905,,,1,,14,15,0
238,1933,,,137,,,1,,5,15,0
239,1916,,,137,,,1,,13,15,0
240,1931,,,137,,,1,,2,15,0
241,1921,,,137,,,1,,15,15,0
242,1939,,,137,,,1,,5,15,0
243,1920,,,755,,,1,,3,15,0
244,1990,,,79,,,1,,11,16,0
245,1970,,,503905,,,1,,9,16,0
246,1936,,,137,,,1,,4,16,0
247,1932,,,137,,,1,,2,16,0
248,1940,,,137,,,1,,4,16,0
249,1967,,,479,,,1,,8,16,0
250,1966,,,479,,,1,,10,16,0
251,1948,,,320,,,1,,7,17,0
252,1987,,,79,,,1,,11,17,0
253,1982,,,79,,,1,,11,17,0
254,1945,,,755,,,1,,10,17,0
255,1937,,,755,,,1,,4,17,0
256,1969,,,258,,,1,,8,18,0
257,1986,,,79,,,1,,10,18,0
258,1975,,,503905,,,1,,9,18,0
259,1954,,,503905,,,1,,9,18,0
260,1934,,,137,,,1,,2,18,0
261,1921,,,755,,,1,,1,18,0
262,1983,,,503905,,,1,,8,19,0
263,1943,,,137,,,1,,1,19,0
264,1983,,,79,,,1,,8,20,0
265,1984,,,503905,,,1,,6,20,0
266,1941,,,137,,,1,,1,20,0
267,1970,,,479,,,1,,5,20,0
268,1970,,,258,,,1,,4,21,0
269,1950,,,320,,,1,,2,21,0
270,1989,,,79,,,1,,7,21,0
271,1942,,,137,,,1,,0,21,0
272,1985,,,79,,,1,,9,22,0
273,1982,,,503905,,,1,,4,22,0
274,1991,,,79,,,1,,5,23,0
275,1988,,,79,,,1,,4,23,0
276,1990,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,14,16,0
277,1985,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,13,17,0
278,1987,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,8,18,0
279,1986,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,8,19,0
280,1984,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,8,20,0
281,1989,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,8,20,0
282,1988,Augusta University,,39,f2a7be6c-1989-41a1-8b14-e544e7a725dc,,1,,5,23,0
283,1911,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,6,1,0
284,1921,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,8,2,0
285,1920,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,5,2,0
286,1912,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,5,3,0
287,1913,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,3,3,0
288,1922,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,7,3,0
289,1923,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,8,4,0
290,1918,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,2,6,0
291,1927,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,5,7,0
292,1924,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,4,7,0
293,1925,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,3,7,0
294,1915,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,0,8,0
295,1916,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,0,8,0
296,1914,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,0,8,0
297,1919,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,3,8,0
298,1931,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,1,9,0
299,1926,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,3,10,0
300,1934,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,3,11,0
301,1929,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,1,11,0
302,1928,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,1,11,0
303,1930,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,0,12,0
304,1933,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,1,13,0
305,1935,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,0,14,0
306,1932,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,0,14,0
307,1936,Colorado School of Mines,,155,5d335fb9-b3b0-428e-a0c4-db03d6c6b07f,,1,,0,14,0
308,1957,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,1,,14,10,0
309,1956,Kentucky Wesleyan College,,333,6af5601a-5589-40de-ab53-a7e57e9d187e,,1,,16,12,0
310,1941,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,28,3,0
311,1970,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,19,7,0
312,1942,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,15,7,0
313,1975,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,19,7,0
314,1954,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,15,7,0
315,1953,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,13,7,0
316,1968,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,18,8,0
317,1951,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,19,9,0
318,1964,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,16,9,0
319,1963,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,13,9,0
320,1959,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,11,9,0
321,1955,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,12,10,0
322,1971,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,14,11,0
323,1967,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,10,11,0
324,1980,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,16,11,0
325,1979,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,19,11,0
326,1950,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,14,12,0
327,1952,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,8,13,0
328,1969,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,12,13,0
329,1976,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,17,13,0
330,1956,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,6,14,0
331,1981,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,11,15,0
332,1957,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,3,15,0
333,1973,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,11,15,0
334,1960,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,7,16,0
335,1958,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,6,16,0
336,1984,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,11,17,0
337,1985,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,11,17,0
338,1974,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,9,17,0
339,1972,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,9,17,0
340,1965,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,6,17,0
341,1961,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,5,18,0
342,1966,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,1,18,0
343,1962,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,6,18,0
344,1983,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,8,19,0
345,1977,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,8,19,0
346,1978,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,8,19,0
347,1982,West Texas A&M University,,767,5a2bc117-ae91-43f9-bb75-7a8c2ab00a4a,,1,,8,20,0
348,1939,Washburn University of Topeka,,2814,4de77449-41d9-478a-adc1-b9b861a8b1c0,,1,,8,8,0
349,1940,Washburn University of Topeka,,2814,4de77449-41d9-478a-adc1-b9b861a8b1c0,,1,,7,13,0
350,1937,Washburn University of Topeka,,2814,4de77449-41d9-478a-adc1-b9b861a8b1c0,,1,,10,13,0
351,1935,Washburn University of Topeka,,2814,4de77449-41d9-478a-adc1-b9b861a8b1c0,,1,,7,14,0
352,1934,Washburn University of Topeka,,2814,4de77449-41d9-478a-adc1-b9b861a8b1c0,,1,,7,14,0
353,1936,Washburn University of Topeka,,2814,4de77449-41d9-478a-adc1-b9b861a8b1c0,,1,,4,17,0
354,1938,Washburn University of Topeka,,2814,4de77449-41d9-478a-adc1-b9b861a8b1c0,,1,,4,18,0
355,2009,Winston-Salem State University,,791,WSSU,,1,,12,17,0
356,2007,Winston-Salem State University,,791,WSSU,,1,,12,18,0
357,2008,Winston-Salem State University,,791,WSSU,,1,,8,22,0
358,2006,Winston-Salem State University,,791,WSSU,,1,,5,24,0
359,1976,West Chester University of Pennsylvania,,765,8355249a-e885-4380-8183-efe14a60e65d,,1,,11,14,0
360,1981,West Chester University of Pennsylvania,,765,8355249a-e885-4380-8183-efe14a60e65d,,1,,13,14,0
361,1973,West Chester University of Pennsylvania,,765,8355249a-e885-4380-8183-efe14a60e65d,,1,,11,15,0
362,1975,West Chester University of Pennsylvania,,765,8355249a-e885-4380-8183-efe14a60e65d,,1,,8,17,0
363,1974,West Chester University of Pennsylvania,,765,8355249a-e885-4380-8183-efe14a60e65d,,1,,8,17,0
364,1978,West Chester University of Pennsylvania,,765,8355249a-e885-4380-8183-efe14a60e65d,,1,,8,18,0
365,1977,West Chester University of Pennsylvania,,765,8355249a-e885-4380-8183-efe14a60e65d,,1,,6,19,0
366,1980,West Chester University of Pennsylvania,,765,8355249a-e885-4380-8183-efe14a60e65d,,1,,7,20,0
367,1979,West Chester University of Pennsylvania,,765,8355249a-e885-4380-8183-efe14a60e65d,,1,,3,23,0
368,2014,,,30209,,,2,,0,0,0
369,1976,,,502530,,,2,,0,0,0
370,1962,,,502530,,,2,,0,0,0
371,1972,,,502530,,,2,,0,0,0
372,1957,,,502530,,,2,,0,0,0
373,1956,,,502530,,,2,,0,0,0
374,1943,,,773,,,2,,0,0,0
375,1964,,,506120,,,2,,0,0,0
376,1907,,,19,,,2,,12,0,0
377,1909,,,789,,,2,,11,0,0
378,1944,,,24,,,2,,0,0,0
379,1943,,,24,,,2,,0,0,0
380,1903,,,286,,,2,,4,0,0
381,1958,,,798,,,2,,0,0,0
382,1958,,,505630,,,2,,0,0,0
383,1960,,,505630,,,2,,0,0,0
384,1959,,,505630,,,2,,0,0,0
385,1965,,,8486,,,2,,0,0,0
386,1959,,,552,,,2,,0,0,0
387,1969,,,552,,,2,,0,0,0
388,1960,,,552,,,2,,0,0,0
389,1949,,,297,,,2,,0,0,0
390,2008,,,24361,,,2,,0,0,0
391,2005,,,24361,,,2,,0,0,0
392,2007,,,24361,,,2,,0,0,0
393,2009,,,24361,,,2,,0,0,0
394,2006,,,24361,,,2,,0,0,0
395,2004,,,24361,,,2,,0,0,0
396,2010,,,24361,,,2,,0,0,0
397,1900,,,50,,,2,,1,0,0
398,1910,,,50,,,2,,2,0,0
399,1959,,,504115,,,2,,0,0,0
400,1968,,,504115,,,2,,0,0,0
401,1943,,,313,,,2,,0,0,0
402,1962,,,324,,,2,,0,0,0
403,1965,,,324,,,2,,0,0,0
404,1963,,,324,,,2,,0,0,0
405,1964,,,324,,,2,,0,0,0
406,1966,,,324,,,2,,0,0,0
407,1941,,,581,,,2,,16,0,0
408,1968,,,583,,,2,,0,0,0
409,1959,,,504135,,,2,,0,0,0
410,1960,,,504135,,,2,,0,0,0
411,1965,,,504135,,,2,,0,0,0
412,1961,,,504135,,,2,,0,0,0
413,1962,,,504135,,,2,,0,0,0
414,1941,,,76,,,2,,0,0,0
415,1943,,,76,,,2,,0,0,0
416,1940,,,76,,,2,,0,0,0
417,1954,,,76,,,2,,0,0,0
418,1939,,,76,,,2,,0,0,0
419,1957,,,76,,,2,,0,0,0
420,1955,,,76,,,2,,0,0,0
421,1945,,,76,,,2,,0,0,0
422,1934,,,76,,,2,,0,0,0
423,1944,,,76,,,2,,0,0,0
424,1924,,,76,,,2,,0,0,0
425,1946,,,76,,,2,,0,0,0
426,1942,,,76,,,2,,0,0,0
427,1917,,,76,,,2,,2,0,0
428,1947,,,76,,,2,,0,0,0
429,1958,,,76,,,2,,0,0,0
430,1943,,,78,,,2,,0,0,0
431,1944,,,78,,,2,,0,0,0
432,1939,,,78,,,2,,0,0,0
433,1942,,,78,,,2,,0,0,0
434,1966,,,79,,,2,,0,0,0
435,1960,,,595,,,2,,0,0,0
436,1948,,,595,,,2,,0,0,0
437,1959,,,595,,,2,,0,0,0
438,1961,,,595,,,2,,0,0,0
439,1965,,,595,,,2,,0,0,0
440,1964,,,595,,,2,,0,0,0
441,1947,,,595,,,2,,0,0,0
442,1958,,,595,,,2,,0,0,0
443,1958,,,30041,,,2,,0,0,0
444,1959,,,30041,,,2,,0,0,0
445,1961,,,30041,,,2,,0,0,0
446,1962,,,30041,,,2,,0,0,0
447,1960,,,30041,,,2,,0,0,0
448,1965,,,30041,,,2,,0,0,0
449,1947,,,30041,,,2,,0,0,0
450,1950,,,607,,,2,,0,0,0
451,1949,,,607,,,2,,0,0,0
452,1948,,,607,,,2,,0,0,0
453,1947,,,607,,,2,,0,0,0
454,1951,,,607,,,2,,0,0,0
455,1944,,,503905,,,2,,0,0,0
456,1942,,,503905,,,2,,0,0,0
457,1945,,,503905,,,2,,0,0,0
458,1924,,,503905,,,2,,0,0,0
459,1943,,,503905,,,2,,0,0,0
460,1965,,,1130,,,2,,0,0,0
461,1963,,,1130,,,2,,0,0,0
462,1962,,,1130,,,2,,0,0,0
463,1964,,,1130,,,2,,0,0,0
464,1961,,,1130,,,2,,0,0,0
465,1960,,,114,,,2,,20,0,0
466,1923,,,118,,,2,,14,0,0
467,1915,,,118,,,2,,15,0,0
468,1923,,,633,,,2,,12,0,0
469,1943,,,633,,,2,,0,0,0
470,1922,,,633,,,2,,21,0,0
471,1921,,,633,,,2,,18,0,0
472,2006,,,2682,,,2,,0,0,0
473,2004,,,2682,,,2,,0,0,0
474,2007,,,2682,,,2,,0,0,0
475,2005,,,2682,,,2,,0,0,0
476,2008,,,2682,,,2,,0,0,0
477,2009,,,2682,,,2,,0,0,0
478,2010,,,2682,,,2,,0,0,0
479,1930,,,126,,,2,,16,0,0
480,1914,,,126,,,2,,0,0,0
481,1990,,,504446,,,2,,0,0,0
482,1948,,,132,,,2,,0,0,0
483,1951,,,132,,,2,,0,0,0
484,1947,,,132,,,2,,0,0,0
485,1954,,,504205,,,2,,0,0,0
486,1982,,,504205,,,2,,0,0,0
487,1958,,,504205,,,2,,0,0,0
488,1955,,,504205,,,2,,0,0,0
489,1959,,,504205,,,2,,0,0,0
490,1957,,,504205,,,2,,0,0,0
491,1956,,,504205,,,2,,0,0,0
492,1960,,,504205,,,2,,0,0,0
493,1953,,,504205,,,2,,0,0,0
494,1953,,,912,,,2,,0,0,0
495,1948,,,506008,,,2,,0,0,0
496,1963,,,506008,,,2,,0,0,0
497,1959,,,506008,,,2,,0,0,0
498,1961,,,506008,,,2,,0,0,0
499,1964,,,506008,,,2,,0,0,0
500,1965,,,506008,,,2,,0,0,0
501,2006,,,2716,,,2,,0,0,0
502,2007,,,2716,,,2,,0,0,0
503,2005,,,2716,,,2,,0,0,0
504,2004,,,2716,,,2,,0,0,0
505,2002,,,2716,,,2,,0,0,0
506,2010,,,2716,,,2,,0,0,0
507,2009,,,2716,,,2,,0,0,0
508,2008,,,2716,,,2,,0,0,0
509,1944,,,673,,,2,,0,0,0
510,1943,,,673,,,2,,0,0,0
511,1945,,,673,,,2,,0,0,0
512,1967,,,506026,,,2,,0,0,0
513,1943,,,506026,,,2,,10,0,0
514,1964,,,506026,,,2,,0,0,0
515,1963,,,506026,,,2,,0,0,0
516,1965,,,506026,,,2,,0,0,0
517,1962,,,506026,,,2,,0,0,0
518,1968,,,506026,,,2,,0,0,0
519,1966,,,506026,,,2,,0,0,0
520,1948,,,686,,,2,,0,0,0
521,1949,,,686,,,2,,0,0,0
522,1947,,,686,,,2,,0,0,0
523,1913,,,177,,,2,,0,0,0
524,1914,,,177,,,2,,0,0,0
525,1962,,,502195,,,2,,0,0,0
